iter	Passed	Remaining
783	880	242
784	881	241
785	882	240
786	883	239
787	884	238
788	885	236
789	887	235
790	888	234
791	889	233
792	890	232
793	891	231
794	892	230
795	893	229
796	894	227
797	895	226
798	897	225
799	898	224
800	899	223
801	900	222
802	901	221
803	902	220
804	903	218
805	904	217
806	905	216
807	906	215
808	907	214
809	909	213
810	910	212
811	911	210
812	912	209
813	913	208
814	914	207
815	917	206
816	918	205
817	919	204
818	921	203
819	922	202
820	923	201
821	924	200
822	925	199
823	926	197
824	927	196
825	928	195
826	930	194
827	931	193
828	932	192
829	934	191
830	935	190
831	936	189
832	937	187
833	938	186
834	939	185
835	940	184
836	941	183
837	942	182
838	943	181
839	945	180
840	946	178
841	947	177
842	948	176
843	949	175
844	950	174
845	951	173
846	952	172
847	953	170
848	954	169
849	956	168
850	957	167
851	958	166
852	959	165
853	960	164
854	961	163
855	962	161
856	963	160
857	964	159
858	965	158
859	967	157
860	968	156
861	969	155
862	970	154
863	971	152
864	972	151
865	973	150
866	975	149
867	976	148
868	977	147
869	978	146
870	979	145
871	980	143
872	981	142
873	982	141
874	983	140
875	984	139
876	985	138
877	987	137
878	988	136
879	989	134
880	990	133
881	991	132
882	992	131
883	993	130
884	994	129
885	995	128
886	996	127
887	997	125
888	999	124
889	1000	123
890	1001	122
891	1002	121
892	1003	120
893	1004	119
894	1005	118
895	1006	116
896	1008	115
897	1009	114
898	1010	113
899	1011	112
900	1012	111
901	1013	110
902	1014	108
903	1015	107
904	1016	106
905	1017	105
906	1019	104
907	1020	103
908	1021	102
909	1022	101
910	1023	99
911	1024	98
912	1025	97
913	1026	96
914	1027	95
915	1028	94
916	1030	93
917	1031	92
918	1032	91
919	1033	89
920	1034	88
921	1036	87
922	1037	86
923	1038	85
924	1039	84
925	1040	83
926	1041	82
927	1042	80
928	1043	79
929	1044	78
930	1045	77
931	1047	76
932	1048	75
933	1049	74
934	1050	73
935	1051	71
936	1052	70
937	1054	69
938	1055	68
939	1056	67
940	1057	66
941	1059	65
942	1060	64
943	1062	63
944	1063	61
945	1064	60
946	1065	59
947	1066	58
948	1067	57
949	1069	56
950	1070	55
951	1071	54
952	1072	52
953	1073	51
954	1074	50
955	1076	49
956	1077	48
957	1078	47
958	1079	46
959	1080	45
960	1081	43
961	1082	42
962	1084	41
963	1085	40
964	1086	39
965	1087	38
966	1089	37
967	1090	36
968	1091	34
969	1093	33
970	1094	32
971	1096	31
972	1097	30
973	1098	29
974	1099	28
975	1100	27
976	1101	25
977	1102	24
978	1104	23
979	1105	22
980	1106	21
981	1107	20
982	1108	19
983	1109	18
984	1110	16
985	1112	15
986	1113	14
987	1114	13
988	1115	12
989	1116	11
990	1117	10
991	1119	9
992	1120	7
993	1121	6
994	1122	5
995	1123	4
996	1124	3
997	1125	2
998	1126	1
999	1127	0
